"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl";"lca_tax_greengenes";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"700489";"14";"16S_rRNA::scf7180000017256.3603164:238702-240167(+)_PAT_16s_all_";"None";"0.995481";"122";"3";"13";"95.9942";"99";"1003";"43282";"4";"1465";"1464";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"
"700489";"15";"16S_rRNA::scf7180000017261.4308001:1304978-1306494(+)_PAT_16s_all_";"None";"0.965925";"118";"4";"12";"93.5818";"96";"1002";"43281";"3";"1516";"1516";"none";"None";"None";"None";"None";"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4;"
"700489";"16";"16S_rRNA::scf7180000017254.1922110:44484-45949(-)_PAT_16s_all_";"None";"0.996974";"118";"0";"12";"98.8809";"99";"1012";"43281";"12";"1465";"1465";"none";"None";"None";"None";"None";"Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;"
"700489";"17";"16S_rRNA::scf7180000024124.52845:45363-46292(-)_PAT_16s_all_";"None";"0.989028";"100";"0";"5";"96.1081";"98";"21305";"43274";"664";"929";"929";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Porifera;Demospongiae;"
"700489";"18";"16S_rRNA::scf7180000024126.23359:5210-6174(-)_PAT_16s_all_";"None";"0.944507";"99";"0";"5";"92.7083";"94";"21305";"43274";"664";"964";"964";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Porifera;Demospongiae;"
"700489";"19";"16S_rRNA::scf7180000022271.27663:2810-3741(+)_PAT_16s_all_";"None";"0.991558";"102";"0";"5";"97.0232";"99";"21305";"43281";"664";"931";"931";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Annelida;Polychaeta;Scolecida;Spionida;"
"700489";"20";"16S_rRNA::NODE_18_length_517629_cov_9.733910:3147-4682(-)_spades_merge_sr_16s_all_";"None";"0.994391";"121";"3";"12";"95.3939";"99";"1003";"43281";"4";"1535";"1535";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;"
"700489";"21";"16S_rRNA::NODE_2_length_3733620_cov_19.297687:1147297-1148793(+)_spades_merge_sr_16s_all_";"None";"0.985311";"122";"4";"13";"89.8279";"98";"1002";"43282";"3";"1496";"1495";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;"
"700489";"22";"16S_rRNA::NODE_1_length_4647870_cov_14.966289:3527867-3529418(-)_spades_merge_sr_16s_all_";"None";"0.988321";"119";"3";"12";"94.0594";"98";"1003";"43281";"4";"1551";"1551";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;"
"700489";"23";"16S_rRNA::NODE_9712_length_7588_cov_6.833936:2022-3551(+)_spades_merge_sr_16s_all_";"None";"0.999446";"122";"3";"13";"100";"99";"1003";"43282";"4";"1529";"1528";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia;"
"700489";"24";"16S_rRNA::NODE_1939_length_17912_cov_9.642339:11614-13173(-)_spades_merge_sr_16s_all_";"None";"0.960388";"120";"4";"13";"89.0838";"96";"1002";"43282";"3";"1559";"1558";"none";"None";"None";"None";"None";"Bacteria;PAUC34f;"
"700489";"25";"16S_rRNA::NODE_16682_length_5390_cov_6.564887:3435-4905(-)_spades_merge_sr_16s_all_";"None";"0.999382";"119";"3";"12";"99.856";"99";"1003";"43281";"4";"1470";"1470";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;"
"700489";"26";"16S_rRNA::NODE_529_length_34958_cov_2.272717:27229-28753(-)_spades_merge_sr_16s_all_";"None";"0.998878";"119";"4";"13";"99.8016";"99";"1002";"43282";"3";"1524";"1523";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;"
"700489";"27";"16S_rRNA::NODE_52703_length_2177_cov_5.597073:1-1169(-)_spades_merge_sr_16s_all_";"None";"0.997498";"104";"3";"0";"99.65";"99";"1003";"37630";"4";"1168";"1168";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;"
"700489";"28";"16S_rRNA::NODE_44474_length_2530_cov_53.045360:2-1034(+)_spades_merge_sr_16s_all_";"None";"0.994072";"113";"0";"11";"99.8";"99";"10368";"43365";"508";"1032";"1020";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;"
"700489";"29";"16S_rRNA::NODE_16208_length_5487_cov_4.199067:1-940(+)_spades_merge_sr_16s_all_";"None";"0.975682";"105";"0";"13";"84.7732";"97";"15957";"43282";"608";"939";"938";"none";"None";"None";"None";"None";"Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Arctic95B-14;"
